Term,Pronunciation,Context / Example Usage,Notes,Tags
Norman Ramsey,,,,Author
Tufts University,,,,Institution
Tweag,,,,Institution
compiler,,,,Common-term
JavaScript,,,,Common-term programming-language
WebAssembly,,,,Common-term programming-language
Peterson,,,,
Kasami,,,,
Tokura,,,,
Emscripten,,,,tool
Glasgow Haskell Compiler,,,,tool compiler
immutable,,,,Common-term
Davidson ,,,,
Fraser,,,,
gcc,,,,tool compiler
Relooper ,,,,
AST (abstract syntax tree) ,,,,
JVM (Java Virtual Machine) ,,,,
LLVM,,"Low-Level Virtual Machine, almost always referred to by acronym alone",,Common-term programming-language
Haskell Core,,,,
G-code,,,,
Cmm,,,,Programming-language
Peyton Jones,,,,Name
Ramsey ,,,,
dominator tree,,,,
GHC,,,,tool compiler
Control-flow analysis,,,,
compiled,,,,
reducibility,,,,
Control-flow graphs (CFGs),,,,
recursive,,,,
polymorphism,,,,
