Term,Pronunciation,Context / Example Usage,Notes,Tags
James Koppel,,,,Author
Jackson Kearl,,,,Author
Massachusetts Institute of Technology,,,,Institution
Armando Solar-Lezama,,,,Author
CFG (control-flow graph) ,,,,
Mandate,,,,
compiler,,,,
Polyglot,,,,
Nystrom,,,,
IncA,,,,
MITScript,,,,
JavaScript,,,,
JIT-compiler (just-in-time compiler) ,,,,
SML,,,,
Algol,,,,
IMP,,,,
SOS (structural operational semantics) ,,,,
AM (abstract machine) ,,,,
PAM (Phased Abstract Machine) ,,,,
Sergey and Clarke,,,,
Roşu and Şerbănută,,,,
operational semantics,,,,
model-checker,,,,
abstract machine states,,,,
transition graph,,,,
transition system,,,,
syntax-directed,,,,
IMP,Like the little demon “imp”,A simple “imperative” programming language,,
nondeterministic,,,,
reduction,,,,
invertible,,,,
