Term,Pronunciation,Context / Example Usage,Notes,Tags
Son Ho,,,,Author
Jonathan Protzenko,,,,Author
INRIA,,,,Institution
Micosoft Research,,MSR,,Institution
Redmond,,,,
Rust,,,,
Aeneas,,,,
toolchain,,,,
borrows,,,,
alias,,,,
aliasing,,,,
LLBC,,,,
Low-Level Borrow Calculus,,,,
lambda-calculus,,,,
OCaml,,,,
Graydon Hoare,,,,Name
StackOverflow,,,,
Dafny,,,,
RefinedC,,,,
separation logic,,,,
Reynolds,,,,
SMT,,,,
Viper,,,,
Why,,,,
F* ,F star,,,
ML,,,,
Matsakis,,,,
SML,,,,
n-th ,,,,
compiler,,,,
immutable,,,,
feature-arity,,,,
Electrolysis,,,,
RustBelt,,,,
Charon tool,,,,
RustHorn,,,,
Coq,“cock”,,,
clause,,,,
mut,“mute”,“mutable”,,
polymorphic,,,,
polymorphism,,,,
recursion,,,,
reborrowing,,,,
semantics,,,,
symbolic,,,,
abstractions,,,,
HOL4,hol as in “hollow”,This is theorem proving software,,tool
hash table,,,,
Polonius,,,,
Creusot,,,,
Prusti,,,,
Cogent,Koe-jent?,,,
Isabelle/HOL,,,,
